"","Year","Count","outlying_precip_var","mean_precip_var","outlying_precip","mean_precip","interpolated","count_raw"
"1",1033,18,73.0771604938272,65.8126090045072,324.5,329.630776014109,0,18
"2",1034,11,36.5910493827161,36.6010501843836,289.166666666667,298.981240981241,0,11
"3",1035,10,234.970899470899,201.48596340388,86.9722222222222,137.98873015873,0,10
"4",1036,14,102.516975308642,85.1851631393298,189.055555555556,195.786054421769,0,14
"5",1037,29,58.4182098765432,56.6839741835432,244.083333333333,265.675998905309,0,29
"6",1038,35,32.8796296296296,32.9410430839002,211.333333333333,212.56156462585,0,35
"7",1039,55,46.0841049382716,45.6990468173802,257.222222222222,260.513795093795,0,55
"8",1040,35,80.6766975308642,79.9804169816074,336.277777777778,347.142630385487,0,35
"9",1041,13,62.4583333333333,53.6494505494505,284.472222222222,299.050671550671,0,13
"10",1042,9,87.7713756613757,35.6447873799726,305.694444444444,342.549118165785,0,9
"11",1043,30,234.843915343915,123.207003968254,191.357142857143,218.175238095238,0,30
"12",1044,10,1.80632716049383,1.72484567901234,234.75,235.261111111111,0,10
"13",1045,45,50.6345899470899,16.8228208151216,246.333333333333,261.862767425811,0,45
"14",1046,20,24.3163580246914,29.4890972222223,269.916666666667,268.835,0,20
"15",1047,23,55.3094135802469,59.8706262939959,324.722222222222,325.318633540373,0,23
"16",1048,17,56.0609567901235,59.3160934744268,268.916666666667,268.703921568628,0,17
"17",1049,18,102.328042328042,86.8000930825004,350.75,354.593915343915,0,18
"18",1050,25,58.646164021164,20.6523902794736,355.791666666667,372.941025641025,0,25
"19",1051,99,44.6448412698413,41.9469908520834,314.916666666667,338.000120250121,0,99
"20",1052,52,142.720679012346,139.26730684439,457.138888888889,498.520955433455,0,52
"21",1053,37,83.0026455026455,60.7509377967711,427.142857142857,497.017317867318,0,37
"22",1054,27,27.1859567901234,17.6559592227695,414.333333333333,477.116858237548,0,27
"23",1055,4,68.5550771604939,25.0345458553792,352.466666666666,496.592857142857,0,4
"24",1056,5,109.924197530864,75.7435493827161,290.6,337.413333333333,0,5
"25",1057,15,42.6305555555556,24.3698765432099,324.433333333333,352.70962962963,0,15
"26",1058,7,139.283333333333,93.8529509952128,328.466666666667,416.018027210884,0,7
"27",1059,6,66.3558201058201,30.4152116402116,338.027777777778,371.255555555555,0,6
"28",1060,5,101.034973544974,81.3850529100529,427.093333333333,485.581904761905,0,5
"29",1061,26,75.4274691358025,66.783167989418,414.502777777778,462.70708994709,0,26
"30",1062,7,49.8050925925926,36.7760141093475,435.647619047619,441.048752834467,0,7
"31",1063,17,47.0648148148148,26.700462962963,397.222222222222,438.159285714285,0,17
"32",1064,14,25.4567901234568,13.5644335511983,401.880952380952,431.011251167133,0,14
"33",1065,16,104.484126984127,102.181974888721,504.642857142857,528.179289493575,0,16
"34",1066,18,161.973015873016,102.7159194282,441.838095238096,503.929657477026,0,18
"35",1067,10,280.551697530864,230.713276692443,175.214285714286,187.048534798535,0,10
"36",1068,5,13.4742063492064,13.4742063492064,161.761904761905,161.761904761905,0,5
"37",1069,5,241.046296296296,188.802532123961,311.333333333333,327.809523809524,0,5
"38",1070,6,177.541666666667,136.733251448728,172.916666666667,211.174829931973,0,6
"39",1071,6,114.160108024691,113.880015432098,286.333333333333,286.453703703703,0,6
"40",1072,4,91.3196373456788,30.3520337301588,271.402777777777,324.131547619048,0,4
"41",1073,9,68.4791666666667,60.188835978836,256.472222222222,300.58619047619,0,9
"42",1074,4,66.4142691798942,37.495524691358,269.430555555555,297.843055555555,0,4
"43",1075,4,64.3493716931217,58.5271880511464,282.388888888889,266.960317460318,0,4
"44",1076,4,62.2844742063492,152.294505070547,295.347222222223,413.761507936508,0,4
"45",1077,19,60.2195767195767,44.9111906678935,308.305555555556,335.38933747412,0,19
"46",1078,5,49.1202380952381,19.978082010582,310.027777777778,399.731904761905,0,5
"47",1079,3,85.1050264550262,142.357613168724,334.486111111111,473.440740740741,0,3
"48",1080,23,121.089814814814,110.33928475577,358.944444444444,363.843478260869,0,23
"49",1081,33,100.72762345679,98.9800812356367,459.25,460.625108225108,0,33
"50",1082,18,64.3302469135803,63.0815329218107,523.25,530.33024691358,0,18
"51",1083,2,81.1944444444445,155.102215608465,418.240740740741,260.507142857143,0,2
"52",1084,3,98.0586419753088,15.0630144032922,313.231481481481,387.37962962963,0,3
"53",1085,17,114.922839506173,113.517883079158,208.222222222222,285.862745098039,0,17
"54",1086,12,104.183968253968,60.2345329952969,237.944444444444,310.518055555555,0,12
"55",1087,8,47.0462962962963,29.4001598324515,242,310.980059523809,0,8
"56",1088,5,126.565586419753,77.3686243386243,367,395.053650793651,0,5
"57",1089,6,93.9081790123457,76.6414425338037,255.611111111111,285.083465608466,0,6
"58",1090,10,213.190972222222,163.820368165785,61.5555555555556,147.041111111111,0,10
"59",1091,6,204.035255456349,124.541164021164,77.5325396825398,175.124722222222,1,NA
"60",1092,2,194.879538690476,85.2619598765432,93.509523809524,203.208333333333,0,2
"61",1093,1,185.723821924603,79.4269841269841,109.486507936508,458.514285714286,0,1
"62",1094,1.5,176.56810515873,131.608939594356,125.463492063492,383.771031746032,1,NA
"63",1095,2,167.412388392857,183.790895061729,141.440476190476,309.027777777778,0,2
"64",1096,3,158.256671626984,41.5492798353909,157.417460317461,289.140740740741,0,3
"65",1097,4,149.100954861111,71.2034626690183,173.394444444445,246.032116402116,1,NA
"66",1098,5,139.945238095238,100.857645502646,189.371428571429,202.923492063492,0,5
"67",1099,8,123.760030864198,53.5151537698414,84.3888888888889,156.213095238095,0,8
